Condition;area (px^2);short axis length (px);orientation
A02;3008;57.14622128;-17.88684757
A02;1921;40.61341897;-39.0835146
A02;1220;36.67566565;-63.97536893
A02;1520;35.3697763;-75.36931743
A02;1031;24.60386494;58.77260861
A02;1440;34.94834529;5.273421993
A02;2607;53.40360372;12.87411971
A02;1462;34.8936571;-76.00462653
A02;1235;34.35004054;-58.10829305
A02;2159;47.33622964;85.48935613
A02;1213;31.0075845;-43.4047362
A02;1325;35.41062566;-81.51201108
A02;1595;40.26441797;69.98556313
A02;1066;29.48207754;-72.78820802
A02;1455;30.98250249;79.81002923
A02;1400;34.72962398;-43.95771454
A02;1381;33.52978897;66.27538561
A02;2196;51.74531118;-59.12442378
A02;1650;38.2167386;75.75643447
A02;1547;34.64598257;-85.77305977
A02;2194;44.42367784;-67.21011833
A02;1442;35.202705;62.43932068
A02;1051;26.59937158;-44.32918543
A02;1327;34.94755372;-22.90673713
A02;1364;33.09153876;18.16225087
A02;1338;37.76680311;9.783856431
A02;1438;50.89092537;13.44976025
A02;1767;43.16862566;-66.71423085
A02;1572;43.4729847;-20.63848691
A02;1545;37.81054858;-89.71312878
A02;1202;32.86953122;-74.91497356
A02;1742;43.23267453;4.972194821
A02;1639;37.38654692;7.433267212
A02;1705;42.41408342;32.39004422
A02;1817;45.92446958;3.869193673
A02;1455;35.51651264;11.33527184
A02;1774;44.34726322;75.1780866
A02;2518;46.91890828;23.82185149
A02;1344;32.313175;87.67882897
A02;1493;42.19293936;56.10618179
A02;1464;38.01938165;-61.00815023
A02;2841;54.6615817;-56.76450256
A02;1732;38.75400538;-60.60842066
A02;1635;37.47939425;-65.68744454
A02;1523;38.88319972;21.89875861
A02;1093;32.55819258;-52.1431941
A02;1716;40.68243004;46.95682651
A02;1610;35.68024994;12.23382314
A02;1344;33.74891761;-74.46593549
A02;1781;41.98468061;-22.82542259
A02;1010;30.64282722;-76.9073423
A02;1440;34.87572162;88.2349022
A02;1952;45.64279624;-48.73858774
A02;1354;33.77907276;73.94785572
A02;1267;33.02375511;82.16289334
A02;1996;41.91337282;-19.48484336
A02;1621;40.13040201;9.33549391
A02;1605;36.33421324;-42.74732732
A02;1428;33.49374941;-89.72641362
A02;1574;36.57967334;59.03668477
A02;1836;43.37553949;-66.40009629
A02;1449;36.27471175;-74.52706051
A02;1431;38.0403318;87.45047132
A02;1527;32.72919652;-58.73047603
A02;1825;40.26005094;-82.60692401
A02;1274;32.79246936;-69.49534898
A02;1880;35.94092417;-37.22837911
A02;1359;36.3302408;40.08418605
A02;1435;37.38604222;-35.16359812
A02;1854;42.64099084;-19.49674925
A02;1775;42.39919998;-39.75389718
A02;1535;40.02002422;-11.54464847
A02;1591;41.45490884;53.34748992
A02;1542;38.10619208;39.26854424
A02;1421;34.96505238;34.56835456
A02;1674;38.00255229;-82.23922835
A02;1922;44.12649223;-42.68578516
A02;1387;39.29678827;-60.87233591
A02;1805;36.60775935;-20.29786991
A02;1559;37.32785896;73.39689378
A02;1714;38.8554302;1.074704935
A02;1620;35.61982047;31.57908605
A02;1366;36.7632901;-18.53756203
A02;1950;42.00193526;-81.48604448
A02;2559;52.70920204;79.71026176
A02;1050;30.09233277;-33.10709331
A02;1943;37.44042146;24.93779733
A02;1986;36.08178699;-18.36204257
A02;1856;39.92778982;0.735557704
A02;1273;35.37403546;-61.25068857
A02;2119;47.45934876;-85.88557897
A02;1854;36.25755124;-51.77591519
A02;1363;34.95567116;64.37000466
A02;1546;36.37430076;-31.87041426
A02;1447;42.77365746;32.36439584
A02;2688;54.90898523;-37.77136757
A02;4755;70.77522803;17.01446955
A02;1824;38.57291166;53.22447103
A02;1575;40.46967185;-15.91950088
A02;1307;36.60631153;-52.78682302
A02;1576;35.35209797;54.84853685
A02;1999;37.43709479;71.05658035
A02;2069;43.51048459;-63.4960224
A02;1958;36.33374821;0.237579515
A02;1576;37.17294413;-83.12757435
A02;1405;34.64905486;-26.58552954
A02;844;25.01459102;-32.83605803
A02;1325;30.36759889;19.91879583
A02;1471;36.23302352;-59.32903686
A02;1432;38.2122522;52.88353982
A02;1288;31.8851127;-53.76618899
A02;2172;45.69472153;59.67816123
A02;1804;39.57627587;-76.04028001
A02;1514;49.6819866;-37.01015036
A02;1493;39.73817014;-45.2423843
A02;1736;41.97699275;30.191703
A02;2090;43.47498408;16.58057009
A02;1664;33.65223113;-69.88628556
A02;1534;34.62468882;-17.70355531
A02;1225;34.97407992;-25.6514325
A02;1466;35.47576253;-58.65926252
A02;1183;31.84912712;-40.63415494
A02;1749;39.66097975;-9.220125202
A02;1905;37.44646151;68.16273956
A02;1658;35.18976146;68.57122758
A02;1699;44.8166422;-86.81303065
A02;1926;41.09256837;68.37433782
A02;1425;27.30035989;-2.538219873
A02;1516;36.69109191;52.76855094
A02;1584;44.32403043;-47.85737456
A02;2019;42.09044973;20.43096582
A02;1646;40.18094013;-3.749074144
A02;790;25.24374105;7.3650413
A02;1794;46.3442369;-42.45118469
A02;1402;32.70749307;65.30534842
A02;1933;43.06305661;-26.09355628
A02;1289;33.19109769;-4.51054404
A02;1422;31.29012654;23.36489296
A02;1509;57.45019339;-31.22721572
A02;1132;33.29275963;-24.3652388
A02;1540;33.23743156;-56.84878413
A02;1707;40.37406426;60.4392148
A02;1429;35.78203339;-7.367142044
A02;1650;36.19633525;38.19888911
A02;1730;40.41984212;-8.996053709
A02;1546;39.10414389;-19.12523076
A02;2207;43.0741441;-45.06465438
A02;1978;48.85431973;33.77123179
A02;1039;27.84304339;-81.82308134
A02;2660;48.87543535;-78.237711
A02;1996;44.84226712;31.25760837
A02;1432;37.35698297;-77.90413128
A02;1709;37.98698888;-51.68520927
A02;1368;38.67369087;-53.47507163
A02;1640;40.52055353;16.40691176
A02;1248;33.67350617;-19.60571521
A02;1602;42.03120284;-62.12122688
A02;1581;37.61225774;-71.9221175
A02;3178;53.75498871;72.7208492
A02;1808;41.54072961;-21.7523136
A02;1147;29.94706738;-67.67904201
A02;1783;40.45941494;-62.88851278
A02;919;30.90950737;-13.03390903
A02;2226;46.60848143;43.94762214
A02;1817;39.75793087;54.84157182
A02;1702;36.77116074;14.38024574
A02;2557;49.49124669;0.745979342
A02;1462;32.85948427;2.675530763
A02;1655;37.6557469;53.29816408
A02;1515;39.74145381;50.8920602
A02;1152;36.6401609;5.889889384
A02;1892;44.50596933;51.16832139
A02;1821;45.5192649;-62.5203142
A02;1740;37.93140304;28.26958486
A02;1731;43.19445752;-2.741496783
A02;3073;59.36184379;69.50602319
A02;1611;41.32452367;-82.33678703
A02;2011;46.75667181;13.36735872
A02;1607;40.78857582;74.68358383
A02;1467;40.1533738;49.87580941
A02;1910;41.52743356;-56.74109486
A02;1721;37.51920861;61.36281247
A02;1036;28.89657955;34.8988964
A02;1627;36.75938343;62.49323256
A02;2519;48.55680973;46.1137425
A02;3374;56.3086281;-10.730931
A02;2168;47.36159908;-67.01050699
A02;1608;35.87803911;72.46365753
A02;1932;41.6355277;43.23860358
A02;1539;35.08063456;81.1118181
A02;2647;50.12756966;24.54941589
A02;1740;43.40524222;-61.36516931
A02;1105;35.63606661;-11.83582008
A02;1586;39.97876405;4.605675411
A02;1817;40.3566765;-56.64283188
A02;1643;41.03341727;22.3775605
A02;2126;43.90320878;52.79890861
A02;1866;42.43928968;83.1149981
A02;1665;34.26337872;54.09988612
A02;1743;39.01986145;68.11082451
A02;1237;34.30691647;64.33916403
A02;1317;35.73514141;-89.30163744
A02;1711;43.75270419;-68.63417635
A02;1793;40.62303983;-29.48707909
A02;1426;39.76590056;25.90114884
A02;1851;39.6883401;-27.07324553
A02;1504;42.69347252;-87.7996101
A02;1550;37.86085665;47.67433617
A02;1390;37.2621918;-51.72212302
A02;1864;39.08956208;47.60675283
A02;2264;39.18464904;72.2067153
A02;1873;41.45445711;88.66177337
A02;1581;35.78538047;35.96674314
A02;2346;46.19525592;-48.41394475
A02;1436;34.94427228;-60.34417522
A02;2056;44.55728955;37.97494204
A02;1633;38.90437798;-55.38601975
A02;1650;36.17374968;40.09368038
A02;1643;36.13389139;61.96933205
A02;1851;41.02752653;88.49746854
A02;1349;36.53509451;9.1586979
A02;1457;36.29711579;-23.99029627
A02;1948;41.74125376;-15.17139389
A02;2702;50.07741659;-2.382286876
A02;1403;39.56887138;88.29799097
A02;2079;50.58263755;23.63480776
A02;2159;38.60842419;48.02066879
A02;1795;42.89276415;-59.97589572
A02;3635;57.32126382;49.07920986
A02;1204;29.25741882;2.597577681
A02;1231;35.63703182;-36.33929733
A02;1764;44.30597422;-0.218733577
A02;1633;41.30557782;15.36264651
A02;1265;37.42969744;-25.49123885
A02;1551;30.05461378;-48.83183364
A02;1867;43.06178576;-73.30838164
A02;1172;28.55978331;-53.0920172
A02;974;33.20114486;45.58468809
A02;1171;31.45578718;-26.91212747
A02;1345;34.48124632;-25.62148091
A02;876;25.68697215;67.35992784
A02;1239;33.60003377;-17.83313648
A02;1320;30.54552904;84.57478044
A02;1713;40.66145396;-83.28182767
A02;1394;37.78140598;-2.574985976
A02;1411;35.92427523;-89.90216714
A02;1588;37.72134797;46.32587062
A02;1791;44.10227574;62.74183672
A02;1283;33.90185779;-86.27229877
A02;2759;56.04593563;53.32399163
A02;1439;39.99776221;12.34701954
A02;3532;61.8714358;-19.78472873
A02;2513;37.7161233;-22.91568499
A02;1602;39.51766751;34.65669454
A02;1870;43.39041894;-30.39066383
A02;1586;36.845324;-41.5652896
A02;1577;38.60851771;57.54273192
A02;1803;45.34849831;-47.93848001
A02;1364;33.9818409;-87.32637743
A02;1346;35.04332011;-46.82344518
A02;1517;40.3889501;74.92911477
A02;2020;41.57176694;-73.68006698
A02;1326;36.29874949;8.615878122
A02;1546;38.65609493;3.262862296
A02;1070;33.80167863;-24.08035684
A02;1967;42.87567054;-22.19795718
A02;3057;44.44609279;-58.26384981
A02;1184;36.14050424;-17.22981923
A02;1602;42.27607281;-64.50094903
A02;1595;39.94712735;31.81308703
A02;1563;41.66844512;57.75838561
A02;1237;33.8225466;-38.44311103
A02;1749;43.78309693;-48.40578123
A02;3707;53.17961421;-80.10514187
A02;1482;37.3188498;-44.85270176
A02;1699;41.41459188;65.34049571
A02;1360;37.95090764;6.543968241
A02;1281;31.84016047;74.32405518
A02;1423;39.4543766;45.63612887
A02;1040;27.65517751;-86.76567179
A02;1585;40.4907439;72.6217794
A02;1190;29.40005089;49.78318437
A02;1979;45.24817472;28.85991075
A02;1240;38.42193285;-19.41764011
A02;2643;53.19505698;-80.26253416
A02;1940;46.66655114;79.22729628
A02;1855;42.14794837;31.13821821
A02;1795;41.26572095;87.79340591
A02;1571;39.3515791;-72.19717726
A02;1670;42.23805896;-79.81391626
A02;1687;38.29229837;34.75376621
A02;2333;43.13657101;50.71714337
A02;1494;38.27460729;-0.893268747
A02;1286;34.78585133;14.06456006
A02;1244;34.45623929;-11.57224899
A02;1688;39.74838412;70.76600622
A02;2105;42.66987083;80.47984243
A02;2144;36.8554081;13.72252037
A02;2102;41.65525896;2.440211242
A02;1913;38.37367464;75.59260314
A02;1302;34.40791049;-55.45634694
A02;2182;45.27066686;13.18461839
A02;1864;43.43120863;17.99682517
A02;1234;32.60656325;47.94910328
A02;1259;34.42669722;-76.8606208
A02;1804;44.31471675;-62.88780916
A02;1339;38.04140874;73.03056654
A02;1812;39.37111883;38.70431842
A02;1043;34.43731481;-35.11600571
A02;2594;48.02702629;66.94535124
A02;1342;33.61971397;83.3014619
A02;1834;40.66912019;-35.02112222
A02;1518;39.88252095;67.9665721
A02;1705;37.85484644;-59.9280964
A02;1836;40.78165113;39.42734223
A02;1164;33.95732346;59.22888496
A02;1544;34.92320073;-41.76913648
A02;1333;35.59111656;79.95444837
A02;1729;40.03582466;81.0529576
A02;1609;40.86800381;-12.84130498
A02;1600;37.19973841;76.27196906
A02;1199;24.57664399;82.60490623
A02;1497;32.37613644;49.1957878
A02;2064;41.20226012;-88.14735067
A02;1425;35.95648124;5.814136009
A02;1461;35.99053946;36.09463423
A02;1497;35.37092564;85.36107815
A02;2044;42.77254919;33.93502024
A02;1998;42.54740489;33.46179657
A02;1025;26.86246934;-62.76241609
A02;1647;37.85791477;-31.75317439
A02;1444;39.42640653;78.52984024
A02;1335;31.93160459;37.82110845
A02;1980;43.0086455;72.06485604
A02;1237;31.52816642;-47.87726257
A02;1196;32.34039454;-12.22456432
A02;1652;40.93617002;51.03638187
A02;1576;34.61403895;25.28965405
A02;1853;44.02875277;26.79840153
A02;1450;35.62971494;48.79880779
A02;1694;40.47927147;-81.82285575
A02;1424;33.90129841;44.57931515
A02;1577;36.8348249;-8.453814201
A02;1333;38.8599466;-28.89186743
A02;1900;40.24627171;20.57237367
A02;1138;28.66835996;17.26062074
A02;1706;43.66423345;3.81187212
A02;1438;34.6468314;-85.56735554
A02;1311;30.67080675;45.97670575
A02;1397;35.83061826;79.89875997
A02;1883;43.01621991;19.32010012
A02;1424;35.32466804;-26.96559827
A02;2103;42.06225344;30.42302581
A02;1428;35.15958048;0.401820623
A02;1506;38.32018621;89.03938294
A02;1559;35.62126377;-4.628753993
A02;1019;28.58598147;74.66139111
A02;1857;45.37774127;-53.45134701
A02;1373;36.64598198;68.31028792
A02;1996;43.57498483;37.33115445
A02;1084;26.73111027;68.68944615
A02;1391;34.60976486;73.53561942
A02;1647;38.55340423;-71.20633502
A02;1517;42.05362461;60.91994668
A02;2118;39.38353167;60.4909936
A02;1145;36.99364553;6.846732356
A02;1492;36.79434844;-81.18994264
A02;1496;34.4166871;65.91786447
A02;1507;38.56338865;74.17136341
A02;1824;38.67014139;-36.76110848
A02;1903;41.26190246;-1.109335308
A02;1925;41.65027734;14.06442231
A02;1645;40.55993596;78.0053962
A02;1847;43.34478754;24.75801111
A02;1428;36.98090325;-6.787200615
A02;1636;43.86453595;-73.31512602
A02;1674;40.23296075;42.48289736
A02;2035;44.47278831;63.82611491
A02;1563;36.76952118;-26.60264033
A02;1563;40.61533482;-80.60096246
A02;1664;39.20435792;77.6969901
A02;1240;30.09903989;66.17983769
A02;1162;27.94676567;-79.84334767
A02;1634;37.3528462;38.11020002
A02;1784;37.61762017;42.20052166
A02;2022;43.35698753;-71.93693839
A02;1644;37.94276404;-48.54894667
A02;1749;42.34521214;-65.1359997
A02;1698;38.85942564;-21.31071292
A02;1525;35.56450122;67.32026277
A02;1590;38.01965283;-42.4660145
A02;1155;37.4097399;-38.27064298
A02;1366;36.63781452;43.61310127
A02;1639;39.74493213;89.91696012
A02;1487;36.03276664;-0.16052418
A02;1712;39.17961609;-0.045985095
A02;1736;35.39722871;-17.20172026
A02;1348;33.56874035;-52.51945102
A02;1256;34.98248563;-66.06751042
A02;1546;38.71542631;86.12398648
A02;1751;35.73022633;-86.14576607
A02;710;25.97308096;-65.65687788
A02;1038;35.25406311;69.51460402
A02;1868;41.14636995;-53.04415716
A02;1545;39.66648466;83.8328398
A02;1443;34.85476505;34.43736505
A02;1250;32.11565893;82.74195515
A02;1592;36.96805906;-4.693123424
A02;2028;47.35490899;19.68506837
A02;1665;40.84075452;-66.05440728
A02;1867;45.49572404;-86.4389326
A02;1706;37.80721681;47.73258888
A02;2250;45.19094239;-36.41957549
A02;2193;43.48702057;80.71884979
A02;1364;33.65361808;-50.39965002
A02;1418;38.77249458;-41.61682449
A02;1399;36.42060443;84.69312026
A02;1619;37.77196197;1.08680056
A02;1954;42.04588517;-16.11154037
A02;1367;34.38512275;-36.23252648
A02;1286;32.78241387;-57.77434445
A02;1315;28.30227084;16.80385102
A02;1281;32.05042753;-38.07771461
A02;2055;49.57395338;-26.25497638
A02;2208;38.91073699;-52.65568704
A02;2102;39.33017515;-73.61105859
A02;2151;42.61183399;-17.4549039
A02;1565;39.75185464;-7.500778317
A02;3280;57.63474884;26.81968687
A02;1688;40.10540141;15.6323666
A02;1810;45.60910117;27.46333917
A02;2245;44.64622823;29.21386615
A02;1539;35.43789036;-33.47935793
A02;1035;25.77584887;-48.18908704
A02;1431;40.16240077;14.86163626
A02;1830;40.82582303;-12.28127784
A02;1515;41.68508312;16.08427276
A02;1655;33.0433151;-62.94056927
A02;873;23.11473421;42.39583788
A02;2491;47.69204651;59.98861368
A02;1764;40.78854768;82.40737311
A02;1571;38.37152638;-33.31652085
A02;1344;35.78043664;10.10817672
A02;1585;37.38429298;77.23190145
A02;2039;46.34945766;46.24133589
A02;1914;42.10533433;51.59340904
A02;1509;39.29890707;75.27276784
A02;1629;38.3617203;-25.49256389
A02;1587;36.06557978;-45.88220765
A02;1475;47.03012241;-32.05715833
A02;1311;37.58405077;-21.73113789
A02;1411;36.27030296;40.2299485
A02;1783;44.79400835;18.46999029
A02;1357;38.17566313;-27.88406852
A02;2401;45.62307703;44.93497096
A02;1413;35.05221724;-23.51736853
A02;1314;29.9692294;87.139985
A02;1433;37.90707453;-65.767856
A02;1632;35.99452191;2.139346226
A02;1300;31.85554529;23.53850963
A02;1538;38.1061809;46.04775075
A02;1589;36.77347519;32.96234551
A02;1749;39.61145238;-82.80251279
A02;1439;34.82516282;-0.4726149
A02;2728;50.17605584;57.8853583
A02;1581;40.21968547;27.16117321
A02;1972;47.09398821;-49.04768854
A02;1485;38.7814111;88.76137857
A02;1403;32.92482032;82.12825351
A02;1082;31.5395588;42.20618068
A02;1459;33.92185236;-15.18982894
